zip,state,latitude,longitude,county
85014,AZ,33.5,-112.05,maricopa
85015,AZ,33.5,-112.1,maricopa
85016,AZ,33.5,-112.02,maricopa
85017,AZ,33.5,-112.12,maricopa
85018,AZ,33.5,-111.98,maricopa
85019,AZ,33.5,-112.14,maricopa
85020,AZ,33.57,-112.05,maricopa
85021,AZ,33.549999999999997,-112.09,maricopa
85022,AZ,33.619999999999997,-112.05,maricopa
85023,AZ,33.630000000000003,-112.09,maricopa
85024,AZ,33.68,-112.04,maricopa
85025,AZ,33.450000000000003,-112.07,maricopa
85026,AZ,33.450000000000003,-111.97,maricopa
85027,AZ,33.72,-112.08,maricopa
85028,AZ,33.56,-112,maricopa
85029,AZ,33.590000000000003,-112.1,maricopa
85030,AZ,33.450000000000003,-112.07,maricopa
85031,AZ,33.49,-112.16,maricopa
85032,AZ,33.619999999999997,-112,maricopa
85033,AZ,33.49,-112.21,maricopa
85034,AZ,33.43,-112.01,maricopa
85035,AZ,33.47,-112.19,maricopa
85036,AZ,33.630000000000003,-112.15,maricopa
85037,AZ,33.479999999999997,-112.25,maricopa
85038,AZ,33.46,-111.98,maricopa
85039,AZ,33.49,-112.28,maricopa
85040,AZ,33.4,-112.02,maricopa
85041,AZ,33.380000000000003,-112.11,maricopa
85042,AZ,33.369999999999997,-112.03,maricopa
85043,AZ,33.42,-112.2,maricopa
85044,AZ,33.340000000000003,-112.06,maricopa
85045,AZ,33.299999999999997,-112.1,maricopa
85046,AZ,33.619999999999997,-112,maricopa
85048,AZ,33.28,-112.03,maricopa
85050,AZ,33.69,-112,maricopa
85051,AZ,33.549999999999997,-112.13,maricopa
85053,AZ,33.619999999999997,-112.13,maricopa
85054,AZ,33.67,-111.95,maricopa
85055,AZ,33.450000000000003,-111.97,maricopa
85060,AZ,33.5,-111.98,maricopa
85061,AZ,33.51,-112.12,maricopa
85062,AZ,33.46,-111.98,maricopa
85063,AZ,33.5,-112.17,maricopa
85064,AZ,33.5,-112.03,maricopa
85065,AZ,33.43,-112.05,maricopa
85066,AZ,33.39,-112.03,maricopa
85067,AZ,33.5,-112.08,maricopa
85068,AZ,33.67,-112.06,maricopa
85069,AZ,33.56,-112.09,maricopa
85070,AZ,33.299999999999997,-112.04,maricopa
85071,AZ,33.590000000000003,-112.11,maricopa
85072,AZ,33.450000000000003,-112.01,maricopa
85073,AZ,33.44,-112.07,maricopa
85074,AZ,33.450000000000003,-112.09,maricopa
85075,AZ,33.49,-112.21,maricopa
85076,AZ,33.32,-111.99,maricopa
85077,AZ,33.450000000000003,-111.97,maricopa
85078,AZ,33.619999999999997,-112,maricopa
85079,AZ,33.5,-112.11,maricopa
85080,AZ,33.630000000000003,-112.11,maricopa
85082,AZ,33.46,-111.98,maricopa
85083,AZ,33.729999999999997,-112.14,maricopa
85085,AZ,33.75,-112.14,maricopa
85086,AZ,33.83,-112.11,maricopa
85087,AZ,33.950000000000003,-112.07,maricopa
85096,AZ,33.44,-112.09,maricopa
85097,AZ,33.43,-112.15,maricopa
85098,AZ,33.44,-112.12,maricopa
85099,AZ,33.450000000000003,-111.97,maricopa
85117,AZ,33.42,-111.54,pinal
85118,AZ,33.340000000000003,-111.42,pinal
85119,AZ,33.380000000000003,-111.51,pinal
85120,AZ,33.4,-111.56,pinal
85121,AZ,32.979999999999997,-111.75,pinal
85122,AZ,32.909999999999997,-111.74,pinal
85123,AZ,32.729999999999997,-111.67,pinal
85127,AZ,33.21,-111.69,maricopa
85128,AZ,32.97,-111.49,pinal
85130,AZ,32.89,-111.75,pinal
85131,AZ,32.65,-111.59,pinal
85132,AZ,32.950000000000003,-111.23,pinal
85135,AZ,33,-110.78,gila
85137,AZ,33.1,-110.97,pinal
85138,AZ,33.01,-111.97,pinal
85139,AZ,32.979999999999997,-112.11,pinal
85140,AZ,33.17,-111.57,pinal
85141,AZ,32.71,-111.49,pinal
85142,AZ,33.159999999999997,-111.59,maricopa
85143,AZ,33.159999999999997,-111.56,pinal
85145,AZ,32.57,-111.36,pinal
85147,AZ,33.08,-111.74,pinal
85172,AZ,32.93,-111.92,pinal
85173,AZ,33.28,-111.1,pinal
85178,AZ,33.42,-111.54,pinal
85190,AZ,33.520000000000003,-111.38,maricopa
85191,AZ,32.979999999999997,-111.44,pinal
85192,AZ,32.880000000000003,-110.66,gila
