geo_id,county_state,total,white,black,am_ind_al_nat,asian,nat_ha_pac_isl,other,two_or_more,hispanic
0500000US05005,"Baxter County, Arkansas",41355,96.11171563293435,0.22004594365856608,0.045943658566074234,0.22004594365856608,0,1.789384596783944,1.6128642243985007,2.3576351106274935
0500000US05007,"Benton County, Arkansas",266300,87.73488546751784,1.9523094254600075,1.8212542245587684,4.019151333082989,0.5580172737514082,1.5321066466391289,2.382275628989861,16.687194892977843
0500000US05009,"Boone County, Arkansas",37381,95.933763141703,0,1.6024183408683557,1.4392338353709102,0,0.03210186993392365,0.9924828121238062,2.4691688290842944
0500000US05019,"Clark County, Arkansas",22293,72.48015071995694,18.207509083568834,0.4754855784326919,5.759655497241287,0,1.6821423765307497,1.3950567442695017,4.207598797828915
0500000US05031,"Craighead County, Arkansas",107115,78.65378331699576,12.749848293889746,0.1381692573402418,1.4311721047472343,0.03454231433506045,2.3292722774588057,4.66321243523316,5.176679269943519
0500000US05033,"Crawford County, Arkansas",62996,88.21829957457616,1.1762651596926788,2.2668105911486442,1.977903358943425,0,3.5018096387072193,2.8589116769318688,7.875103181154359
0500000US05035,"Crittenden County, Arkansas",48750,43.306666666666665,44.59487179487179,0.7856410256410257,0.7035897435897436,0,0.18666666666666668,10.422564102564102,2.568205128205128
0500000US05045,"Faulkner County, Arkansas",123654,80.8813301631973,12.224432691219047,0.1698287156096851,1.47993595031297,0,2.7965128503728143,2.447959629288175,4.056480178562763
0500000US05051,"Garland County, Arkansas",98658,84.85576435768006,8.471690080885482,0.5443045672930731,0.27468629001196054,0,2.8117334630744595,3.041821241054958,5.700500719657808
0500000US05057,"Hempstead County, Arkansas",26140,55.956388676358074,28.611323641928077,0.1530221882172915,0.2907421576128539,0.9334353481254782,11.178270849273146,2.8768171384850802,12.478959449120122
0500000US05063,"Independence County, Arkansas",37504,89.16915529010238,1.3145264505119454,0.634598976109215,1.543835324232082,0,5.527410409556314,1.8104735494880546,6.495307167235495
0500000US05069,"Jefferson County, Arkansas",69115,39.548578456196196,57.24806481950373,0.23005136366924692,1.2385155176155682,0,1.018592201403458,0.7161976416118064,2.108080735006873
0500000US05071,"Johnson County, Arkansas",26552,91.12307924073517,2.376468815908406,0.3163603495028623,2.0262127146730946,0.5347996384453149,1.804007231093703,1.819072009641458,12.319222657426936
0500000US05083,"Logan County, Arkansas",21722,91.52011785286805,1.219961329527668,0.4235337445907375,0.19335236166098885,0,1.6066660528496455,5.036368658502901,3.2041248503821014
0500000US05085,"Lonoke County, Arkansas",72898,89.07514609454306,6.8643858542072484,0.8107218305028944,0.22908721775631705,0,0.3388295975198222,2.6818294054706575,4.716178770336635
0500000US05091,"Miller County, Arkansas",43984,70.37786467806475,24.724899963623137,1.7301746089487087,0.2523644961804292,0,0.8957802837395415,2.0189159694434338,3.3762277191706076
0500000US05093,"Mississippi County, Arkansas",42159,60.59678834886976,35.11942882895704,0.12097061125738277,1.195474275955312,0,1.4374154984700775,1.5299224364904291,4.307502549870727
0500000US05113,"Polk County, Arkansas",20748,86.19625988047041,1.532677848467322,2.0435704646230963,0.2891844997108155,0,6.164449585502217,3.7738577212261424,10.401002506265664
0500000US05115,"Pope County, Arkansas",63835,91.9605232239367,2.3247434792825254,0,0.6986762747708937,0,1.0464478734236704,3.9696091485861986,9.118821962873032
0500000US05119,"Pulaski County, Arkansas",393956,55.70875935383647,36.792179837342246,0.19824548934398767,2.278427032460478,0.05279777437074191,2.1446557483576845,2.8249347642883977,6.174547411386043
0500000US05125,"Saline County, Arkansas",119323,87.87576577860095,7.405948559791491,0.12403308666392901,1.2612824015487376,0.16258391089731233,1.1406015604703201,2.0297847020272703,4.802929862641737
0500000US05131,"Sebastian County, Arkansas",128107,73.37460091954382,6.076170701054587,0.87036617827285,3.966996338997869,0,9.548268244514352,6.1635976176165235,14.39577852888601
0500000US05143,"Washington County, Arkansas",231996,75.51768133933344,3.473335747168055,0.7280297936171313,2.784099725857342,1.8784806634597147,11.727788410145003,3.890584320419318,16.84339385161813
0500000US05145,"White County, Arkansas",79016,90.3209476561709,4.305457122608079,0.5758327427356486,0.6327832337754379,0,1.5895514832439,2.5754277614660324,4.352283081907462
0500000US05149,"Yell County, Arkansas",21523,74.046369000604,1.5285973145007667,0,3.475351949077731,0,20.62444826464712,0.3252334711703759,22.915021140175625
0500000US06001,"Alameda County, California",1663190,39.795753942724524,10.511667338067209,0.6609587599733043,30.200337904869556,0.787041769130406,11.407536120347043,6.636704164887957,22.46718655114569
0500000US06005,"Amador County, California",38626,89.27665303163673,2.7753326774711335,0.5540309635996479,0.5617977528089888,0,1.0096825972143115,5.822502977269197,14.135556361000361
0500000US06007,"Butte County, California",229294,81.09283278236674,1.8264760525787853,1.4592619082924105,5.216447006899439,0.09943565902291382,4.903748026551066,5.401798564288642,16.384641551894074
0500000US06009,"Calaveras County, California",45670,89.97591416684914,0.5167506021458288,1.1386030216772498,2.141449529231443,0.44011386030216776,1.6400262754543464,4.147142544339829,12.069192029778849
0500000US06013,"Contra Costa County, California",1147439,57.13889801549363,8.210545397184513,0.46669147553813317,17.02330145654802,0.5210734513991593,9.196131559063272,7.443358644773274,25.673173040135467
0500000US06015,"Del Norte County, California",27470,70.81543502002184,1.6599927193301784,8.285402257007645,6.352384419366581,0,7.102293410993811,5.784492173279942,19.585001820167456
0500000US06017,"El Dorado County, California",188987,88.22247032864693,0.870430241233524,0.7661902670554059,4.400302666320964,0,1.6990586654108484,4.041547831332314,12.84638625937234
