geo_id,total,tot_under_19,y_under_19,n_under_19,tot_19_64,y_19_64,n_19_64,tot_65_over,y_65_over,n_65_over
0500000US28075,73034,20037,0.4880425721573147,0.011034135932718712,40443,0.21403903234233101,0.033222545681059916,12554,0.7965588657001752,0
0500000US28079,22302,6324,1.4422532596723987,0.13902441268686783,13618,0.5906715820492868,0.14365063854110827,2360,4.23728813559322,0
0500000US28081,84063,22512,0.42358755895615835,0.020619974803614178,49753,0.16467900985669925,0.036313895093756,11798,0.8294969041646721,0.01810438418928611
0500000US28083,28730,9004,1.0124331927307693,0.09818431060108336,15664,0.47582969374223344,0.16257684354070828,4062,2.461841457410143,0
0500000US28085,33887,7911,1.1389506899064377,0.12511200760335872,20372,0.4022472411728152,0.08862258015056991,5604,1.7844396859386153,0
0500000US28087,57629,14944,0.6564478836621747,0.012716998564806112,33900,0.23946885251607625,0.05551639822138686,8785,1.1383039271485487,0
0500000US28089,103660,27940,0.3402192754798733,0.017690531248831097,62306,0.1432443608591537,0.017253825511340304,13414,0.7271498710570543,0.018339915732866703
0500000US28091,24139,6321,1.5014375783020721,0.08059058179917773,12424,0.6883448274718271,0.1165489265526416,5394,1.853911753800519,0
0500000US28093,34232,8126,1.2027524403516872,0.02786532976891342,19829,0.3941104787249253,0.11020138773329252,6277,1.5931177314003504,0
0500000US28095,35397,8543,1.1610947114437804,0.009454276031345393,20433,0.43043539274094317,0.05896900211052262,6421,1.547202869924285,0.010186944746327007
0500000US28099,28939,9466,1.0443595455600791,0.012052877850020148,15089,0.5291246488498988,0.133609793459068,4384,2.281021897810219,0
0500000US28101,22503,5509,1.5964239576150594,0.21878751452144465,12562,0.6837602764606926,0.11229130768195987,4432,2.256317689530686,0
0500000US28105,49502,10517,0.8478645561957494,0.10297693852708024,33522,0.2562282873601604,0.04208326922954186,5463,1.765157105516287,0.06533895891717463
0500000US28107,33795,9366,1.067691650651292,0,19357,0.4359830694557993,0.08062590920824986,5072,1.971608832807571,0
0500000US28109,54461,13908,0.65749046137364,0.06152017998385214,31205,0.2612882884633796,0.05917317604551323,9348,1.069747539580659,0
0500000US28113,38833,11091,0.8719596372599132,0.029672316576530706,21519,0.36573512681667925,0.09897048218002133,6223,1.6069419893941828,0
0500000US28115,31398,8702,0.9468495950151288,0.20231151737282801,18557,0.394003699284703,0.14487650764529653,4139,2.416042522348393,0
0500000US28117,24975,4739,2.035343918576269,0.07480590206099612,15077,0.5747507470099026,0.08851117512314766,5159,1.938360147315371,0
0500000US28121,147300,37184,0.25677506019282437,0.012157814161736695,88546,0.10094900693637529,0.011986642330672348,21570,0.4636068613815485,0
0500000US28123,28193,8262,1.1223158105569588,0.08804487692791178,15085,0.45676422710814824,0.20614594856304827,4846,2.063557573256294,0
0500000US28127,27364,6879,1.453699665649077,0,16117,0.46662718807911785,0.15383567721839408,4368,2.2893772893772892,0
0500000US28133,22098,6440,1.4983025346244359,0.05449249643146483,12654,0.5777407763881773,0.21252317177050778,3004,3.3288948069241013,0
0500000US28137,27934,7363,1.3503949522491234,0.007747109410526319,16377,0.4996902960409231,0.1109221482406914,4194,2.3843586075345735,0
0500000US28139,21869,5911,1.6805991061055916,0.011162017223793952,12698,0.6975970930742129,0.08992850150761102,3260,3.067484662576687,0
0500000US28145,28302,7169,1.3814691402850974,0.013425545166150948,15943,0.4645147094600157,0.16271981352812953,5190,1.9267822736030826,0
0500000US28149,46249,11733,0.6988791325478212,0.1534178077061634,27371,0.27917500950893576,0.08617517864641115,7145,1.364517166893319,0.03506295906889235
0500000US28151,45729,12752,0.6889341736341897,0.09525654154774256,26148,0.2689705782518166,0.1134678491613699,6829,1.464343242055938,0
0500000US28153,20320,5641,1.7111405557878803,0.06159477482725886,11237,0.7987634830836411,0.09115375461325312,3442,2.9052876234747242,0
0500000US28163,21424,5468,1.8084202347207055,0.02040200375771463,12725,0.6457285559342445,0.14012606096162974,3231,3.095017022593624,0
0500000US29001,25022,5153,1.8355458615502065,0.10507125469275903,16393,0.5630921265643403,0.046924343880361694,3476,2.8661106704398134,0.010759295037746919
0500000US29007,23618,6210,1.5804854774258963,0.02982048070614898,13041,0.6172248564969849,0.14958750451827468,4367,2.289901534234028,0
0500000US29009,35377,9281,0.9215556142037564,0.15591448600096305,19497,0.4050950492436715,0.10780437117998347,6599,1.5153811183512653,0
0500000US29019,176907,40362,0.23654908755363582,0.01120870442892202,115745,0.0768304319601609,0.009566388636841141,20800,0.47928994082840237,0.0014792899408284025
0500000US29021,85774,21796,0.4339190062536541,0.024880773522451688,50002,0.1712183022618698,0.028773698058117435,13976,0.7155123068116772,0
0500000US29023,41969,11287,0.8515941298138568,0.034380885690705985,22916,0.3487621095003111,0.08761422144749831,7766,1.2876641771825907,0
0500000US29027,42468,9527,0.9990775059495407,0.05057086184724738,25756,0.3383925716101271,0.04986647482565487,7185,1.3917884481558804,0
0500000US29029,45190,8866,1.0424146485795556,0.08548970513124984,23890,0.3424373712289882,0.07614781085556603,12434,0.804246421103426,0
0500000US29031,76958,18242,0.5304555723865046,0.0177299335887173,46511,0.18864469587240806,0.02635820666677622,12205,0.8187321567359197,6.041808306513019e-4
0500000US29037,102981,26531,0.3657795268398389,0.011138041288011564,59985,0.14783224021392527,0.018876103538679533,16465,0.6073489219556636,0
0500000US29043,85006,23851,0.4048550962858397,0.014414536014692742,48218,0.18555894268416395,0.02183248790192425,12937,0.7729767334003246,0
0500000US29047,241146,62306,0.15706184668220974,0.0034363396882842586,145604,0.060794249726652615,0.007885182157086841,33236,0.300516453766505,3.621116444951259e-4
0500000US29049,20106,5410,1.8484288354898337,0,11597,0.7747020830310658,0.0875898890306743,3099,3.172702141579152,0.054145228540241515
0500000US29051,72957,18458,0.5108633469047363,0.030907159108916255,42792,0.19672280504117864,0.03696573487282398,11707,0.8444855860998111,0.009704214873965342
0500000US29055,22890,4803,1.9298785646021,0.152153498691675,13385,0.5238386348156776,0.22326633343236124,4702,2.126754572522331,0
0500000US29069,29477,8254,1.1773337320307988,0.03420006976227106,16090,0.4931860521978415,0.1283179875784171,5133,1.948178453146308,0
0500000US29071,102487,25235,0.38116835489218853,0.015106659968124478,60144,0.14975807640451602,0.016509547963667017,17108,0.5845218611176057,0
