GEO_ID,NAME,K200201_001E,K200201_001M,K200201_002E,K200201_002M,K200201_003E,K200201_003M,K200201_004E,K200201_004M,K200201_005E,K200201_005M,K200201_006E,K200201_006M,K200201_007E,K200201_007M,K200201_008E,K200201_008M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races
0500000US42091,"Montgomery County, Pennsylvania",826075,*****,653389,2701,79031,2644,847,370,63010,1574,93,116,10221,2470,19484,2837
0500000US42095,"Northampton County, Pennsylvania",303405,*****,260162,3042,19464,2082,732,521,8693,711,0,179,5141,2518,9213,2211
0500000US42097,"Northumberland County, Pennsylvania",92029,*****,86841,736,3002,772,121,204,351,199,58,106,651,444,1005,400
0500000US42099,"Perry County, Pennsylvania",46127,*****,44573,299,659,315,70,104,91,116,0,179,313,300,421,250
0500000US42101,"Philadelphia County, Pennsylvania",1580863,*****,665060,9772,663708,7721,5742,1743,115279,2837,406,254,87287,10917,43381,6340
0500000US42103,"Pike County, Pennsylvania",55691,*****,50193,596,3745,677,49,103,831,99,0,179,111,121,762,458
0500000US42107,"Schuylkill County, Pennsylvania",142569,*****,133712,840,3933,441,211,143,581,266,0,179,1131,624,3001,724
0500000US42111,"Somerset County, Pennsylvania",74501,*****,70900,285,2003,409,15,19,91,186,25,45,238,172,1229,426
0500000US42115,"Susquehanna County, Pennsylvania",40985,*****,39482,60,651,570,54,63,94,100,19,29,373,293,312,302
0500000US42119,"Union County, Pennsylvania",44595,*****,38088,409,2453,572,234,195,917,56,0,179,1742,874,1161,760
0500000US42121,"Venango County, Pennsylvania",51762,*****,50174,99,523,246,0,179,178,99,0,179,39,72,848,279
0500000US42125,"Washington County, Pennsylvania",207298,*****,193401,779,7776,787,164,179,1906,382,0,179,713,588,3338,795
0500000US42127,"Wayne County, Pennsylvania",51205,*****,47664,497,1631,695,549,473,426,360,0,179,0,179,935,648
0500000US42129,"Westmoreland County, Pennsylvania",352627,*****,334051,488,8262,1119,137,177,3242,466,0,179,399,263,6536,1226
0500000US42133,"York County, Pennsylvania",446078,*****,397989,2128,25570,2019,641,404,6951,419,302,482,2999,1184,11626,2235
0500000US44001,"Bristol County, Rhode Island",48912,*****,45613,557,335,328,29,57,1414,827,0,217,98,114,1423,628
0500000US44003,"Kent County, Rhode Island",163760,*****,151122,1491,2255,827,97,108,5324,639,0,217,1541,979,3421,1169
0500000US44005,"Newport County, Rhode Island",83460,*****,74578,1020,3902,1344,482,739,1726,449,0,217,615,537,2157,1105
0500000US44007,"Providence County, Rhode Island",637357,*****,477587,6648,58493,4686,3701,1923,26696,1517,1128,1171,43526,6805,26226,4771
0500000US44009,"Washington County, Rhode Island",126150,*****,117358,915,1675,602,1271,265,2898,615,0,217,1523,1001,1425,864
0500000US45003,"Aiken County, South Carolina",168179,*****,119316,974,41838,1180,899,486,1853,341,0,211,1109,873,3164,1558
0500000US45007,"Anderson County, South Carolina",198759,*****,159254,1227,32700,1024,526,328,1912,329,85,139,844,670,3438,1302
0500000US45013,"Beaufort County, South Carolina",186844,*****,141002,2190,36478,1295,138,239,2757,572,205,346,4066,1846,2198,983
0500000US45015,"Berkeley County, South Carolina",217937,*****,146907,1615,52162,1681,1067,634,4789,960,0,211,5232,2043,7780,1708
0500000US45019,"Charleston County, South Carolina",401438,*****,276815,1578,107685,1822,535,400,4841,1701,0,211,1396,914,10166,2768
0500000US45025,"Chesterfield County, South Carolina",45948,*****,28750,506,15163,1041,0,211,259,101,0,211,626,497,1150,874
0500000US45027,"Clarendon County, South Carolina",34057,*****,16580,344,16394,492,0,211,23,56,29,48,547,388,484,437
0500000US45033,"Dillon County, South Carolina",30665,*****,14803,1326,15004,1399,501,430,0,211,0,211,0,211,357,339
0500000US45035,"Dorchester County, South Carolina",156456,*****,105803,1353,41428,1163,588,495,2665,845,0,211,2393,1222,3579,1125
0500000US45041,"Florence County, South Carolina",138566,*****,74254,754,59114,853,224,193,2275,132,51,85,1111,774,1537,862
0500000US45043,"Georgetown County, South Carolina",61607,*****,39732,682,18829,839,0,211,642,643,0,211,1765,694,639,537
0500000US45045,"Greenville County, South Carolina",506837,*****,373696,3856,86658,4932,1291,771,12035,1478,4294,4578,15052,3723,13811,3221
0500000US45049,"Hampton County, South Carolina",19602,*****,7988,1456,10547,1561,0,211,0,211,0,211,417,406,650,539
0500000US45051,"Horry County, South Carolina",333268,*****,270297,2589,44562,1028,948,501,4361,1030,344,502,7472,2597,5284,1729
0500000US45055,"Kershaw County, South Carolina",65036,*****,45903,905,16770,918,39,80,0,211,0,211,1731,1163,593,555
0500000US45057,"Lancaster County, South Carolina",92550,*****,69205,981,18051,2034,0,211,1105,352,0,211,0,211,4189,2046
0500000US45059,"Laurens County, South Carolina",66848,*****,46491,951,16270,1226,0,211,145,210,0,211,1792,969,2150,1174
0500000US45063,"Lexington County, South Carolina",290642,*****,230485,1502,44493,1037,1052,458,5338,793,0,211,4373,1523,4901,1415
0500000US45069,"Marlboro County, South Carolina",26825,*****,6312,1467,17772,1650,708,328,0,211,0,211,161,163,1872,877
0500000US45073,"Oconee County, South Carolina",77270,*****,67196,1304,5481,864,1735,1556,686,123,0,211,834,1056,1338,704
0500000US45075,"Orangeburg County, South Carolina",87476,*****,30211,727,54133,882,145,197,938,211,0,211,584,711,1465,829
0500000US45077,"Pickens County, South Carolina",123479,*****,108449,1186,8761,730,195,346,2165,504,0,211,1789,1270,2120,892
0500000US45079,"Richland County, South Carolina",411592,*****,183910,2738,195838,2118,537,364,12145,831,518,211,9515,2534,9129,1984
0500000US45083,"Spartanburg County, South Carolina",306854,*****,223257,2082,60280,2013,252,209,7405,697,306,352,5970,2270,9384,2029
0500000US45085,"Sumter County, South Carolina",106847,*****,50529,1186,50835,628,310,260,1382,296,212,247,1199,1057,2380,849
0500000US45089,"Williamsburg County, South Carolina",31134,*****,9639,1329,20302,1313,406,362,67,121,0,211,534,523,186,184
0500000US45091,"York County, South Carolina",266439,*****,197776,1835,52691,1256,1959,422,5516,890,273,387,3250,1548,4974,1773
0500000US46011,"Brookings County, South Dakota",34255,*****,31736,180,625,134,199,174,926,143,0,163,183,200,586,247
0500000US46029,"Codington County, South Dakota",28099,*****,26574,284,321,286,268,216,211,169,0,163,0,163,725,459
0500000US46081,"Lawrence County, South Dakota",27551,1985,25400,1858,610,619,322,302,386,348,75,127,76,127,682,565
0500000US46093,"Meade County, South Dakota",29301,1787,26720,1824,647,173,744,405,471,556,50,108,0,163,669,442
0500000US46099,"Minnehaha County, South Dakota",188616,*****,162607,1167,10001,1469,3212,982,3762,562,104,186,1562,814,7368,1676
0500000US46103,"Pennington County, South Dakota",110141,*****,91568,1652,1199,464,9485,1197,1556,264,542,518,989,963,4802,1643
0500000US46135,"Yankton County, South Dakota",21805,1809,19979,1750,251,180,963,577,0,163,0,163,101,101,511,400
0500000US47001,"Anderson County, Tennessee",76257,*****,69020,670,1773,729,71,129,1207,220,0,208,1168,740,3018,764
0500000US47003,"Bedford County, Tennessee",48117,*****,40931,1379,3365,1190,67,132,0,208,163,272,2061,1379,1530,1146
0500000US47009,"Blount County, Tennessee",129929,*****,122346,285,2981,740,419,345,1137,242,398,480,0,208,2648,686
0500000US47011,"Bradley County, Tennessee",105560,*****,93614,1251,5503,755,118,276,1407,208,93,171,3303,1315,1522,656
0500000US47017,"Carroll County, Tennessee",27860,*****,23706,129,1894,1020,0,208,62,104,318,311,19,34,1861,816
0500000US47021,"Cheatham County, Tennessee",40330,*****,38236,397,474,370,314,446,187,242,0,208,362,337,757,442
